15,ALI DARWEESH GEN.TRAD.CONS.CO,Stationary,"PO BOX 24613,SAFAT 13107, Kuwait",REJI,22404991,99772974,rejivs@yahoo.com
16,SOOR FUEL MARKETING COMPANY,FUEL,,,,,
17,AMAL- ALKHALEEJ,Matress,"SHUWAIKH, KUWAIT",,,,
18,TOOQ AL-KHALEEJ,X-ray machine repair,"PO BOX 341, YARMUK 72654,KUWAIT",,22640592,,
19,RUBY DESIGNS Co,Uniform,"BLOCK 7-8,BUILD#57 BASEMENT SHOP#7",JOSE,24348566,97486861,reethatex@gmail.com
20,MISCELLANEOUS ,General items,,,,,
21,IKEA,Furniture,"Alrai, Kuwait",SYED,1840408 Ext: 751,95594826,sayed@ikea.com.kw
22,ARAB CLEANING CO,Cleaning,PO BOX 23654 SAFAT 13097 KUWAIT,MOHSIN,24817034,96622367,info@arabcleaning.com
23,SMILE COMPUTERS,Computer,SHUWAIKH.KUWAIT,JACOB,22408660 extn:308,66221162,jacob@smilecomputers.com
24,ALMULLA OFFICE AUTOMATION,Photocopy machine,"P.O. Box 177, SAFAT 13002, KUWAIT",DAVE,(+965) 1880088 (Ext: 369),65603994,jimenez@ almullagroup.com
25,NAPCO,Paper products,"SABHAN, KUWAIT",VICKY,,60027751,icken.Yacoubian@napcogroup.com
26,TERRA COM INFORMATICS LTD,Metal plastic tags,"TERRA COM INFORMATICS LTD,79 Ethnikis Antistasis,Katsikas-Ioannina,45221,Greece",MARIA,30-26510-94333,30-6978001058,mroussou@terracom.gr | info@qrpatrol.com
27,AL_FARKAD TRADING EST.,Id card repair,"PO BOX 27019,SAFAT 13131, KUWAIT",SATHEESH,22405100,,
28,PEGASUS,Id card repair,"PO BOX 27019,SAFAT 13131, KUWAIT",,22479255,,
29,AL-RYADH GROUP COMPANY,Spare parts,"PO BOX 122, SAFAT 13002 KUWAIT",TIJU,,99992795,cleaning@marafiegroup.com
30,DIA BEHBEHANI,Podium,"PO BOX 24180,SAFAT 13102,KUWAIT",NABIL GHOUSSEINI,24844016,,
31,AL BOUROUJ NATIONAL CO,Abraj water,,MUKHTAR,,90061049,
32,DIAMOND JEWEL EST.,Garbage bag,"SABHAN,KUWAIT",FELIX,,55494969,felixpauldsouza61@gmail.com
33,KUWAIT DESIGN GROUP,Furniture,"ALRAI, BLOCK#1BUILDING#1451",MUHAMMAD,,97139557,kazema-kuwaitiya@hotmail.com
34,AL RASHED INTERNATIONAL SHIPPING CO W.L.L,Chemical,"SALMIYA,KUWAIT",RATHI,965-22912949,97948397,sales1@al-rashedgroup.com
35,PENTA GRAFIX,Cards,"ALRAI,KUWAIT",ANEES,,90949847,pentagrafixkwt@gmail.com
36,AL ZAHEM INTERNATIONAL FACTORIES,Electrical,"SHUIBA BLOCK 5B,PO BOX 26212,SAFAT,KUWAIT",TISSY,22212221 Ext. 309,,tissy@alzahemgroup.com
37,SWAIDAN,Uniform,MUBARAKIYA.KUWAIT,,,,
38,K4 GENERAL TRADING,Cleaning,"SHUWAIKH,KUWAIT",MAHAMMAD,,97578305,k4sales@k4.com.kw
39,INTERCARE GENERAL TRADING & CONTRACTING Co.,Cleaning,"HAWALLY,KUWAIT",DHRUV,,99695591,admin@hygienewithintercare.com
40,BADER J.M ALBARJASS,Accomodation,FARWANIYA,,,99030168,
41,EASA HUSAIN AL YOUSIFI AND SONS CO,Electrical,"PO BOX 126, SAFAT 13002,KUWAIT",FAHIMA,1802929 Ext 2500,,fahima.abdukrahim@yousifi.com.kw
42,WAEL RAFAT GHALI,Civil,Farwaniya,WAEL,,66411726,
43,MATAR FARHAN ELADOWANY,Accomodation,JLEEB,,,,
44,TONO ADVERTISING Co.,Branding,,AHMAD,,,
45,NOURI INDUSTRIAL ESTABLISHMENT Co FOR GEN.TRAD & Cont S.p.c,Spare parts,"PO BOX 2829,13029,SAFAT, KUWAIT",NIDHIN,965-2433-3355 Ext ( 261),98554712,automation@nie-kwt.com
46,THE GENERAL STORE Co FOR BUILDING MATERIALS,Hardware,"PO BOX 24865,SAFAT -13109,KUWAIT",,24835370,,
47,ALSALHYAH MANAR TAILORING,Clothes,KUWAIT,,,94004722,
48,AL NADER INTERNATIONAL GEN.TRAD.Co,Sign board,"SHUWAIKH,KUWAIT",SIDDIQUE,24741181,,info@ideasignages.com
49,FRONT LINE PRINTING PRESS,Printing,"SHUWAIKH,KUWAIT",UMMER,,55044856,ummaru@flppress.com
50,ORKIN PEST CONTROL SERVICES,Pest control,"PO BOX 2135, SAFAT 13022, KUWAIT",,,,
51,CATALYST GENERAL TRADING COMPANY,Garbage bag,"AMGHARA, SECTOR4,JAHRA, KUWAIT",FIROZ,,66296811,firoz@uacpp.com
52,CAMCO GLOBAL GENERAL TRADING COMPANY,Traps,"PO BOX 25271,SAFAT 13113, ALTAF TOWER, KUWAIT",FIRAZ,22478960,99999468,fk@camcokw.com
53,AL HASAWI REFRIGERATOR & WATER COOLER FACTORIES W.L.L,Water cooler,"PO BOX1175,SAFAT 13012, KUWAIT",NASHAAT,24722174/5 ext346,,alrai_fact@alhasawi.com
54,AL_GHANIM CENTER GENERAL TRADING ESTABLISHMENT,Idea paint,PO BOX 5049 SAFAT KUWAIT 13051,RAKAN,22414322/3/4,99011603,rakan.alghanim@alawama.com
55,TARIQ ALGHANIM LIMITED CATERING AND SUPPORT SERVICES,Catering,PO BOX 64285,GEORGE,24880034,66819906,poonam.rodrigues@tag.com.kw
56,AL FAID INTERNATIONAL FOR COMPUTER Co.,Projector,"BIN KHALDUN STREET, HAWALLY",RAJESH,22615001,,
57,ADHWA AL-BAHRAIN EST.,Plumbing,"PO BOX 4154, JLEEB",SABU,,99117315,
58,AAYEN AUTOMOTIVE SERVICES,Vehicle maintenance,"PO BOX 1426,SAFAT 13015,KUWAIT",,22240941 ext:26,,
59,AL MIRJAN INTERNATIONAL,Soap dispenser,"SHUWAIKH,KUWAIT",HASSAN,,50342855,
60,AL JANAH MOBILE EST.,Fingerprint machine,HAWALLY,,,99893931,aljanahmobile@gmail.com
61,ABDULLAH AL-HOMOUD SONS GENERAL TARDING & cONT.Co.,Checklist holder,SALMIYA,JASON,,96662433,
62,GOLDEN AL-MOUATAMED GEN.TRADING & CONTRACTING CO,Fire extingusiher,HAWALLY,,22428494,60080705,info@almoutamed.com
63,TRANSTOR,Rent a car,,,,,
64,TEKNIK DOKUM,Plastic tray,TURKEY,BURAK,90 21265219 94-95,0836-0028-8250-0013,burak@teknikdokum.com
65,NATIONAL MEDICAL,GLOVES,SUBHAN KUWAIT,AJITH,,,
66,BRITISH INDUSTRIES PRINTING & PACKAGING CO.,Paper items,SUBHAN KUWAIT,MAGDI,,99434378,
67,MABROOK HOTEL SUPPLIES W.L.L,Barrier,"SHUWAIKH,KUWAIT",NOOR,,97889087,
68,MUSTUFA SAIFUDDIN KHOKHAWALA,Posters,"ALRAI,KUWAIT",MUSTUFA,,66494316,
69,CITY GROUP COMPANY CO,Transportation,"PO BOX 2461,SAFAT,KUWAIT",,,,
70,BARCODE GULF COMPUTER COMPANY,Finger print machine,KUWAIT,VIJI,,98068480,
71,AL AMAKIN AL JAMILAH GENERAL TRADING CO.,Transportation,"PO BOX 2461,SAFAT,KUWAIT",,,66668329,
72,QORTUBA FURNITURE,Furniture,"DAJEEJ,KUWAIT",,,97512294,
73,BIMAD GEN.TRAD & CONT.CO.W.L.L,Confiscated box,"FAHAD ALSALEM STREET,KUWAIT",IBRAHIM,,97781193,
74,ADVANCED INTERNATIONAL ELECTRONIC EQUIPMENT CO.WLL,Radio,"KUWAIT FREE TRADE ZONE,SHUWAIKH",SHETTY,,99638442,
75,BURHANUDDIN SAIFUDDIN BHARKUNDI,JACKETS/Belts,"sOUK AL KAZMI, SHOP#4,5 GROUND FLOOR,KUWAIT CITY",,,67073767,
76,ON BOARD INTERNATIONAL EST. GEN TRADING & CONTG,Traps,"AL QUIBLA,BLOCK 003,YARMOUK",,,55025252,onboard_intel@hotmail.com
77,JOBIN KANIYARASSERIL JOSEPH,Tech-Generator,JLEEB,,,,
78,CARTE BLANCHE,Neck Tags,SHUWAIKH,DEEPAK,24911221,,info@cbc-kw.com
79,PKG SOLUTIONS,Banner,"ALRAI,KUWAIT",DINESH,,,
80,AVER.INC.SAL,Uniform,LEBANON,,961 (0)1 696688,,info@emilerassam.com
81,KUWAIT DOCUMENTS TECHNOLOGY CO W.L.L,Photocopy machine,"ALRAI,KUWAIT",SAJI,22210500,66550194,saji.abraham@kdt.com.kw
82,UNIVERSE GENERAL TRADING COMPANY,SHOES,FARWANIYA,SHAIK AHMED,,65759395,
83,ESN GENERAL TRADING,UNIFORM,FARWANIYA,SAMER,24710122,66510666,sh@emilerassam.com
84,ECHOWIN CO LTD,UNIFORM,KOREA,IKAS DIRECT ORDER,82-2-2088-1155,,
85,BRANDON ARCHIBALD OU,DESIGN PACKAGE,GERMANY,DASHA,380996579026,,brandon-archibald.com
86,ASRAR AL AAMAL GENERAL TRADING CO.,Hand sanitizer,HAWALLY,IYAD,,,
