CODE,SUPPLIER NAME,Category,ADDRESS,CONTACT PERSON,PHONE,MOBILE,E-mail,
0038,K4 GENERAL TRADING,Cleaning,"SHUWAIKH,KUWAIT",MAHAMMAD,,97578305,k4sales@k4.com.kw,
0039,INTERCARE GENERAL TRADING & CONTRACTING Co.,Cleaning,"HAWALLY,KUWAIT",DHRUV,,99695591,admin@hygienewithintercare.com,
0040,BADER J.M ALBARJASS,Accomodation,FARWANIYA,,,99030168,,
0041,EASA HUSAIN AL YOUSIFI AND SONS CO,Electrical,"PO BOX 126, SAFAT 13002,KUWAIT",FAHIMA,1802929 Ext 2500,,fahima.abdukrahim@yousifi.com.kw,
0042,WAEL RAFAT GHALI,Civil,Farwaniya,WAEL,,66411726,,
0043,MATAR FARHAN ELADOWANY,Accomodation,JLEEB,,,,,
0044,TONO ADVERTISING Co.,Branding,,AHMAD,,,,
0045,NOURI INDUSTRIAL ESTABLISHMENT Co FOR GEN.TRAD & Cont S.p.c,Spare parts,"PO BOX 2829,13029,SAFAT, KUWAIT",NIDHIN,965-2433-3355 Ext ( 261),98554712,automation@nie-kwt.com,
0046,THE GENERAL STORE Co FOR BUILDING MATERIALS,Hardware,"PO BOX 24865,SAFAT -13109,KUWAIT",,24835370,,,
0047,ALSALHYAH MANAR TAILORING,Clothes,KUWAIT,,,94004722,,
0048,AL NADER INTERNATIONAL GEN.TRAD.Co,Sign board,"SHUWAIKH,KUWAIT",SIDDIQUE,24741181,,info@ideasignages.com,
0049,FRONT LINE PRINTING PRESS,Printing,"SHUWAIKH,KUWAIT",UMMER,,55044856,ummaru@flppress.com,
0050,ORKIN PEST CONTROL SERVICES,Pest control,"PO BOX 2135, SAFAT 13022, KUWAIT",,,,,
0051,CATALYST GENERAL TRADING COMPANY,Garbage bag,"AMGHARA, SECTOR4,JAHRA, KUWAIT",FIROZ,,66296811,firoz@uacpp.com,
0052,CAMCO GLOBAL GENERAL TRADING COMPANY,Traps,"PO BOX 25271,SAFAT 13113, ALTAF TOWER, KUWAIT",FIRAZ,22478960,99999468,fk@camcokw.com,
0053,AL HASAWI REFRIGERATOR & WATER COOLER FACTORIES W.L.L,Water cooler,"PO BOX1175,SAFAT 13012, KUWAIT",NASHAAT,24722174/5 ext346,,alrai_fact@alhasawi.com,
0054,AL_GHANIM CENTER GENERAL TRADING ESTABLISHMENT,Idea paint,PO BOX 5049 SAFAT KUWAIT 13051,RAKAN,22414322/3/4,99011603,rakan.alghanim@alawama.com,
0055,TARIQ ALGHANIM LIMITED CATERING AND SUPPORT SERVICES,Catering,PO BOX 64285,GEORGE,24880034,66819906,poonam.rodrigues@tag.com.kw,
0056,AL FAID INTERNATIONAL FOR COMPUTER Co.,Projector,"BIN KHALDUN STREET, HAWALLY",RAJESH,22615001,,,
0057,ADHWA AL-BAHRAIN EST.,Plumbing,"PO BOX 4154, JLEEB",SABU,,99117315,,
0058,AAYEN AUTOMOTIVE SERVICES,Vehicle maintenance,"PO BOX 1426,SAFAT 13015,KUWAIT",,22240941 ext:26,,,
0059,AL MIRJAN INTERNATIONAL,Soap dispenser,"SHUWAIKH,KUWAIT",HASSAN,,50342855,,
060,AL JANAH MOBILE EST.,Fingerprint machine,HAWALLY,,,99893931,aljanahmobile@gmail.com,
0061,ABDULLAH AL-HOMOUD SONS GENERAL TARDING & cONT.Co.,Checklist holder,SALMIYA,JASON,,96662433,,
0062,GOLDEN AL-MOUATAMED GEN.TRADING & CONTRACTING CO,Fire extingusiher,HAWALLY,,22428494,60080705,info@almoutamed.com,
0063,TRANSTOR,Rent a car,,,,,,
0064,TEKNIK DOKUM,Plastic tray,TURKEY,BURAK,90 21265219 94-95,0836-0028-8250-0013,burak@teknikdokum.com,
0065,NATIONAL MEDICAL,GLOVES,SUBHAN KUWAIT,AJITH,,,,
0066,BRITISH INDUSTRIES PRINTING & PACKAGING CO.,Paper items,SUBHAN KUWAIT,MAGDI,,99434378,,
0067,MABROOK HOTEL SUPPLIES W.L.L,Barrier,"SHUWAIKH,KUWAIT",NOOR,,97889087,,
0068,MUSTUFA SAIFUDDIN KHOKHAWALA,Posters,"ALRAI,KUWAIT",MUSTUFA,,66494316,,
0069,CITY GROUP COMPANY CO,Transportation,"PO BOX 2461,SAFAT,KUWAIT",,,,,
0070,BARCODE GULF COMPUTER COMPANY,Finger print machine,KUWAIT,VIJI,,98068480,,
0071,AL AMAKIN AL JAMILAH GENERAL TRADING CO.,Transportation,"PO BOX 2461,SAFAT,KUWAIT",,,66668329,,
0072,QORTUBA FURNITURE,Furniture,"DAJEEJ,KUWAIT",,,97512294,,
0073,BIMAD GEN.TRAD & CONT.CO.W.L.L,Confiscated box,"FAHAD ALSALEM STREET,KUWAIT",IBRAHIM,,97781193,,
0074,ADVANCED INTERNATIONAL ELECTRONIC EQUIPMENT CO.WLL,Radio,"KUWAIT FREE TRADE ZONE,SHUWAIKH",SHETTY,,99638442,,
0075,BURHANUDDIN SAIFUDDIN BHARKUNDI,JACKETS/Belts,"sOUK AL KAZMI, SHOP#4,5 GROUND FLOOR,KUWAIT CITY",,,67073767,,
0076,ON BOARD INTERNATIONAL EST. GEN TRADING & CONTG,Traps,"AL QUIBLA,BLOCK 003,YARMOUK",,,55025252,onboard_intel@hotmail.com,
0077,JOBIN KANIYARASSERIL JOSEPH,Tech-Generator,JLEEB,,,,,
0078,CARTE BLANCHE,Neck Tags,SHUWAIKH,DEEPAK,24911221,,info@cbc-kw.com,
0079,PKG SOLUTIONS,Banner,"ALRAI,KUWAIT",DINESH,,,,
0080,AVER.INC.SAL,Uniform,LEBANON,,961 (0)1 696688,,info@emilerassam.com,
0081,KUWAIT DOCUMENTS TECHNOLOGY CO W.L.L,Photocopy machine,"ALRAI,KUWAIT",SAJI,22210500,66550194,saji.abraham@kdt.com.kw,
0082,UNIVERSE GENERAL TRADING COMPANY,SHOES,FARWANIYA,SHAIK AHMED,,65759395,,
0083,ESN GENERAL TRADING,UNIFORM,FARWANIYA,SAMER,24710122,66510666,sh@emilerassam.com,
0084,ECHOWIN CO LTD,UNIFORM,KOREA,IKAS DIRECT ORDER,82-2-2088-1155,,,
0085,BRANDON ARCHIBALD OU,DESIGN PACKAGE,GERMANY,DASHA,380996579026,,brandon-archibald.com,
0086,ASRAR AL AAMAL GENERAL TRADING CO.,Hand sanitizer,HAWALLY,IYAD,,,,
